"path_id","criteria","criteria_item","hr_os","selog_hr_os","ae","number_of_patients","ease","g_index","pareto_os","sucra_os"
"C1579","ECOG, ANC, Hemoglobin, Total_bilirubin, Hepatitis_B_C, Autoimmune_disease","1, 2, 4, 6, 10, 11",0.85566483839239,0.100215958316962,0.223747426218256,1690,0.0634805718563194,0.490845204790893,0,2.59467950046447
"C1129","ECOG, Hemoglobin, Total_bilirubin, Creatinine_v5, Autoimmune_disease","1, 4, 6, 7, 11",0.855357193576958,0.10738643588193,0.224657534246576,1696,0.0722741696071307,0.490873975304544,0,2.59414980730836
"C900","Platelets, CNS_metastasis, HIV_v2, Hepatitis_B_C","3, 8, 9, 10",0.85454413204971,0.0773604808462477,0.210136674259682,2038,0.00391497441566413,0.468307385549053,0,2.59353950229949
"C95","ECOG, ANC, Platelets, Hemoglobin, ALT_AST, Creatinine_v5","1, 2, 3, 4, 5, 7",0.857377349021274,0.124509655840172,0.22183344996501,1655,0.0817086356681078,0.486917140213931,0,2.59279171743992
"C591","ECOG, ANC, Platelets, Hemoglobin, Creatinine_v5, Hepatitis_B_C","1, 2, 3, 4, 7, 10",0.854469511436927,0.100179701994826,0.223066298342541,1678,0.0579375570643084,0.493607809833447,0,2.59254695054155
"C964","Platelets, Creatinine_v5, CNS_metastasis, HIV_v2, Hepatitis_B_C","3, 7, 8, 9, 10",0.85454413204971,0.0773604808462477,0.210136674259682,2038,0.00391497441566413,0.468307385549053,0,2.5924897894096
"C420","Platelets, Total_bilirubin, CNS_metastasis, HIV_v2","3, 6, 8, 9",0.854029081006413,0.0791557487931948,0.210435779816514,2022,0.015747630940314,0.467584617844335,0,2.59073655489565
"C571","ECOG, ANC, Hemoglobin, ALT_AST, Total_bilirubin, Hepatitis_B_C","1, 2, 4, 5, 6, 10",0.855517536024732,0.145223384039714,0.222222222222223,1670,0.108729305082386,0.483680698275416,0,2.5904953056054
"C7","ECOG, ANC, Platelets","1, 2, 3",0.854494328020702,0.0837330502719409,0.22192513368984,1731,0.0483771921640217,0.480965639444872,0,2.5900391890858
"C1850","ANC, Hemoglobin, ALT_AST, Total_bilirubin, HIV_v2, Hepatitis_B_C, Autoimmune_disease","2, 4, 5, 6, 9, 10, 11",0.854753501487651,0.101278758081645,0.211217183770883,1946,0.052298787080836,0.476217291857352,0,2.58789344813243
"C1390","ANC, Platelets, Hemoglobin, Total_bilirubin, Creatinine_v5, HIV_v2, Autoimmune_disease","2, 3, 4, 6, 7, 9, 11",0.85517717830639,0.0791173481654062,0.212880143112702,1942,0.0342020500006797,0.484038965454555,0,2.58687392804557
"C1738","ANC, Hemoglobin, Creatinine_v5, CNS_metastasis, Hepatitis_B_C, Autoimmune_disease","2, 4, 7, 8, 10, 11",0.853732032280751,0.106809084924635,0.213076474022184,1994,0.0588100575753665,0.477046305772455,0,2.58610151992916
"C1914","ANC, Hemoglobin, ALT_AST, Total_bilirubin, Creatinine_v5, HIV_v2, Hepatitis_B_C, Autoimmune_disease","2, 4, 5, 6, 7, 9, 10, 11",0.854753501487651,0.101278758081645,0.211217183770883,1946,0.052298787080836,0.476217291857352,0,2.5859010162663
"C388","Platelets, CNS_metastasis, HIV_v2","3, 8, 9",0.85454413204971,0.0773604808462477,0.210136674259682,2038,0.00391497441566413,0.468307385549053,0,2.58545134869492
"C527","ECOG, ANC, Platelets, Hemoglobin, Hepatitis_B_C","1, 2, 3, 4, 10",0.854469511436927,0.100179701994826,0.223066298342541,1678,0.0579375570643084,0.493607809833447,0,2.58478241688405
"C113","ECOG, ALT_AST, Total_bilirubin, Creatinine_v5","1, 5, 6, 7",0.853550935635235,0.0844653580408943,0.223040857334227,1731,0.0591489937665706,0.471212130340394,0,2.5840469436529
"C1643","ECOG, ANC, Hemoglobin, Total_bilirubin, Creatinine_v5, Hepatitis_B_C, Autoimmune_disease","1, 2, 4, 6, 7, 10, 11",0.85566483839239,0.100215958316962,0.223747426218256,1690,0.0634805718563194,0.490845204790893,0,2.58382210986721
"C1338","ANC, Hemoglobin, ALT_AST, Total_bilirubin, HIV_v2, Autoimmune_disease","2, 4, 5, 6, 9, 11",0.854753501487651,0.101278758081645,0.211217183770883,1946,0.052298787080836,0.476217291857352,0,2.58365033333734
"C1166","ANC, Platelets, Hemoglobin, CNS_metastasis, Autoimmune_disease","2, 3, 4, 8, 11",0.855667825089964,0.112050449227419,0.213947990543735,1962,0.0644486612029525,0.480721845115648,0,2.58296029587774
"C543","ECOG, ANC, Platelets, Hemoglobin, ALT_AST, Hepatitis_B_C","1, 2, 3, 4, 5, 10",0.857377349021274,0.124509655840172,0.22183344996501,1655,0.0817086356681078,0.486917140213931,0,2.58130291618507
"C1272","Hemoglobin, ALT_AST, Total_bilirubin, Creatinine_v5, CNS_metastasis, Autoimmune_disease","4, 5, 6, 7, 8, 11",0.856488023489509,0.132464074443907,0.213182897862233,1959,0.0849207929332305,0.472663013386662,0,2.58030098413881
"C57","ECOG, Hemoglobin, ALT_AST, Total_bilirubin","1, 4, 5, 6",0.858090654405192,0.152925206519573,0.223146223146223,1676,0.11353280844755,0.483255971159455,0,2.58026785999568
"C1565","ECOG, Platelets, Hemoglobin, ALT_AST, Hepatitis_B_C, Autoimmune_disease","1, 3, 4, 5, 10, 11",0.857384690987665,0.126624640314619,0.222533240027991,1657,0.0850119353286853,0.48755303756132,0,2.5799351528943
"C1896","Hemoglobin, Total_bilirubin, Creatinine_v5, HIV_v2, Hepatitis_B_C, Autoimmune_disease","4, 6, 7, 9, 10, 11",0.856255863762995,0.0823052571510579,0.212815990593769,1980,0.0256549366551133,0.480023092095153,0,2.5798911827928
"C1678","ANC, Platelets, Hemoglobin, CNS_metastasis, Hepatitis_B_C, Autoimmune_disease","2, 3, 4, 8, 10, 11",0.855667825089964,0.112050449227419,0.213947990543735,1962,0.0644486612029525,0.480721845115648,0,2.57942070270671
"C1676","Platelets, Hemoglobin, CNS_metastasis, Hepatitis_B_C, Autoimmune_disease","3, 4, 8, 10, 11",0.85670889195929,0.103334270189679,0.214285714285714,1967,0.0546298715071987,0.480770416658918,0,2.57897396647544
"C13","ECOG, Platelets, Hemoglobin","1, 3, 4",0.857775466071347,0.0989031575382601,0.223448275862069,1683,0.0631200813474626,0.493714797276271,0,2.5753203441745
"C1340","Platelets, Hemoglobin, ALT_AST, Total_bilirubin, HIV_v2, Autoimmune_disease","3, 4, 5, 6, 9, 11",0.857381290853993,0.106097752898657,0.212176009644364,1924,0.0572095801471639,0.47882352585792,0,2.57514710197458
"C1577","ECOG, Hemoglobin, Total_bilirubin, Hepatitis_B_C, Autoimmune_disease","1, 4, 6, 10, 11",0.855357193576958,0.10738643588193,0.224657534246576,1696,0.0722741696071307,0.490873975304544,0,2.57423662773945
