"path_id","criteria","hr_os","selog_hr_os","ae","number_of_patients","ease","g_index","sucra_os"
"C135","Neutrophils, Platelets, Hemoglobin, pdl1_tissue, ECOG",0.816501436807345,0.111787627542772,0.208333333333334,794,0.0860882124758482,0.837284037829616,23.5591278076172
"C244","Hemoglobin, AST, ALT, hpv_test, pdl1_tissue, ECOG",0.815935861682469,0.126587129753051,0.222882615156018,782,0.0765101188696724,0.878714268479702,23.5545654296875
"C212","Hemoglobin, AST, hpv_test, pdl1_tissue, ECOG",0.814207364884271,0.126165579504888,0.22238586156112,789,0.0982294760651687,0.876416462751641,23.4645843505859
"C97","Neutrophils, ALT, hpv_test, ECOG",0.816268729958275,0.13591157126823,0.206039076376554,658,0.156112832457906,0.895980609877381,23.4417266845703
"C53","Neutrophils, Hemoglobin, AST, ALT, ECOG",0.818201561305037,0.111424923003811,0.205091937765205,833,0.0890316808033618,0.85100507500358,23.3904266357422
"C237","Neutrophils, Hemoglobin, Bilirubin, ALT, hpv_test, pdl1_tissue, ECOG",0.814072016880558,0.138743017670183,0.20566037735849,618,0.168382021042373,0.888319932250692,23.3800659179688
"C241","Neutrophils, AST, ALT, hpv_test, pdl1_tissue, ECOG",0.818265353200052,0.136454421481934,0.205504587155963,635,0.142050595212575,0.8795837078435,23.2485961914062
"C5","Neutrophils, Hemoglobin, ECOG",0.821745463834397,0.1095665543779,0.204735376044569,850,0.100059666061353,0.847368114614018,23.2263946533203
"C54","Platelets, Hemoglobin, AST, ALT, ECOG",0.82315378442898,0.107243240790809,0.217496962332929,969,0.026445408299014,0.921386988252108,23.1403961181641
"C215","Neutrophils, Platelets, Hemoglobin, AST, hpv_test, pdl1_tissue, ECOG",0.816960244490824,0.140234520554921,0.208092485549133,605,0.173566382899645,0.88017222303946,23.1398773193359
"C183","Neutrophils, Platelets, Hemoglobin, AST, ALT, pdl1_tissue, ECOG",0.823567726325845,0.112916591435889,0.208144796380091,780,0.0859489242827729,0.842262115866326,22.9623413085938
"C103","Neutrophils, Platelets, Hemoglobin, ALT, hpv_test, ECOG",0.820254625671199,0.138754240184739,0.211320754716981,620,0.176582111935561,0.893162813917446,22.9005584716797
"C39","Neutrophils, Platelets, Hemoglobin, ALT, ECOG",0.824614127333127,0.11287526699078,0.209677419354838,805,0.101315416281985,0.853265056491767,22.8664245605469
"C174","Platelets, Hemoglobin, Bilirubin, ALT, pdl1_tissue, ECOG",0.826617269588246,0.108829392304758,0.214824120603015,934,0.0470343211760065,0.918641356512137,22.6580047607422
"C85","Neutrophils, Hemoglobin, AST, hpv_test, ECOG",0.824982963532464,0.137294685084506,0.206148282097649,646,0.177606976964835,0.885697258081404,22.5404815673828
"C60","Hemoglobin, Bilirubin, AST, ALT, ECOG",0.829356391736545,0.105677871574813,0.213704994192799,1012,0.0415593571469521,0.911606555587355,22.3898315429688
"C221","Neutrophils, Hemoglobin, Bilirubin, AST, hpv_test, pdl1_tissue, ECOG",0.824191549777278,0.139001924570242,0.20527306967985,618,0.170818477505871,0.888277330732595,22.3300018310547
"C45","Neutrophils, Hemoglobin, Bilirubin, ALT, ECOG",0.830443050254238,0.112695323741824,0.203994293865906,825,0.0916428666753482,0.863498224649241,22.3053283691406
"C151","Neutrophils, Platelets, Hemoglobin, AST, pdl1_tissue, ECOG",0.830478525258467,0.11279280549304,0.206586826347306,785,0.0994442833405391,0.847227272961621,22.2244110107422
"C116","Hemoglobin, AST, ALT, hpv_test, ECOG",0.827114272706381,0.126534556316264,0.223512336719884,803,0.0861583410880282,0.884142734957028,22.2184295654297
"C149","Neutrophils, Hemoglobin, AST, pdl1_tissue, ECOG",0.829734698739973,0.111452168208842,0.201729106628242,814,0.085495333579998,0.842723907696771,22.2062683105469
"C233","Neutrophils, Bilirubin, ALT, hpv_test, pdl1_tissue, ECOG",0.82887180019052,0.137838319771799,0.205175600739372,630,0.176520531312298,0.89742103838544,22.1981201171875
"C14","Platelets, Hemoglobin, Bilirubin, ECOG",0.831629213677126,0.106855278272968,0.219128329297821,972,0.0577462539132927,0.919950955848696,22.0763854980469
"C144","AST, pdl1_tissue, ECOG",0.832315559960279,0.102966300111187,0.215401785714286,1052,0.0331101931520346,0.918036725508886,22.0736236572266
"C89","Neutrophils, Bilirubin, AST, hpv_test, ECOG",0.830549606892097,0.137396709128928,0.206463195691203,649,0.183013173302503,0.907882617107628,22.0484161376953
"C131","Neutrophils, Platelets, pdl1_tissue, ECOG",0.832280143962432,0.11133199857453,0.206140350877193,807,0.080524458940721,0.835116155295314,22.0444946289062
"C23","Neutrophils, Platelets, Hemoglobin, AST, ECOG",0.833825249821334,0.112783998657466,0.208454810495626,808,0.108555713308867,0.860700355250514,22.0403594970703
"C245","Neutrophils, Hemoglobin, AST, ALT, hpv_test, pdl1_tissue, ECOG",0.830715560848768,0.137520344564832,0.206378986866792,622,0.159111860035428,0.870377591945039,22.0344390869141
"C160","ALT, pdl1_tissue, ECOG",0.833938094271008,0.103037609091754,0.215883668903803,1050,0.0354969804011063,0.919980450926592,21.9955291748047
"C125","Neutrophils, Hemoglobin, Bilirubin, AST, ALT, hpv_test, ECOG",0.831807317153416,0.138709904733778,0.208487084870849,633,0.176054156311892,0.89942208550017,21.9134368896484
"C65","Neutrophils, hpv_test, ECOG",0.830250626249646,0.134610147934111,0.205623901581722,669,0.142234226346379,0.895071698511492,21.8720245361328
"C93","Neutrophils, Hemoglobin, Bilirubin, AST, hpv_test, ECOG",0.832966211615142,0.138036264734586,0.206959706959707,637,0.196367092904912,0.900430862310549,21.8089752197266
"C83","Neutrophils, Platelets, AST, hpv_test, ECOG",0.832317096494489,0.139085043967645,0.208487084870849,632,0.184500055999797,0.90022299150002,21.7929534912109
"C253","Neutrophils, Hemoglobin, Bilirubin, AST, ALT, hpv_test, pdl1_tissue, ECOG",0.832274400343051,0.139232727815823,0.206831119544592,614,0.167469663002724,0.886146358019464,21.7430572509766
"C181","Neutrophils, Hemoglobin, AST, ALT, pdl1_tissue, ECOG",0.833796388890181,0.11128542811084,0.203193033381713,809,0.0826718695296365,0.838128455274515,21.7371978759766
"C176","AST, ALT, pdl1_tissue, ECOG",0.836310324187668,0.103427498205506,0.215973003374578,1044,0.0375563174993132,0.917147507879614,21.7178649902344
"C225","Neutrophils, ALT, hpv_test, pdl1_tissue, ECOG",0.83275400472801,0.136151345451372,0.204379562043796,639,0.127331604911436,0.881824174570953,21.6893768310547
"C80","AST, hpv_test, ECOG",0.835070080547636,0.124269430266312,0.222689075630252,831,0.0872031652465044,0.895573803612223,21.6307220458984
"C128","pdl1_tissue, ECOG",0.835860852302757,0.101678645018427,0.218543046357615,1068,0.0307513222700553,0.911265761569464,21.6298217773438
"C195","Neutrophils, Platelets, hpv_test, pdl1_tissue, ECOG",0.832614152888569,0.137519927883387,0.207939508506616,621,0.151492178108612,0.886130523539507,21.6224670410156
"C117","Neutrophils, Hemoglobin, AST, ALT, hpv_test, ECOG",0.832384966505337,0.137591606129588,0.208029197080292,641,0.17048831886178,0.88368286050798,21.6183471679688
"C16","AST, ECOG",0.837361555619311,0.102801203419035,0.21701199563795,1080,0.0451642537904828,0.929758602166497,21.5588226318359
"C105","Neutrophils, Bilirubin, ALT, hpv_test, ECOG",0.83646585076028,0.13701593957441,0.206834532374101,649,0.190386940464578,0.910462166060421,21.4518737792969
"C192","hpv_test, pdl1_tissue, ECOG",0.836733905334746,0.122900210548118,0.225852272727272,822,0.0899187217772894,0.898651560715148,21.4221496582031
"C167","Neutrophils, Platelets, Hemoglobin, ALT, pdl1_tissue, ECOG",0.836037827683565,0.112566616449631,0.207831325301205,782,0.090402141497324,0.839680068571514,21.3689575195312
"C249","Neutrophils, Bilirubin, AST, ALT, hpv_test, pdl1_tissue, ECOG",0.83733096446275,0.137789855455055,0.20631970260223,626,0.171721052931608,0.894975993800982,21.3306121826172
"C121","Neutrophils, Bilirubin, AST, ALT, hpv_test, ECOG",0.835916407514942,0.137397091161983,0.207956600361664,645,0.168211554491979,0.906683361385312,21.2923889160156
"C30","Platelets, Hemoglobin, Bilirubin, AST, ECOG",0.838102379512407,0.108901344187879,0.217073170731707,964,0.0513801594539511,0.926484250174097,21.2913970947266
"C157","Neutrophils, Hemoglobin, Bilirubin, AST, pdl1_tissue, ECOG",0.839036914732619,0.113003518195854,0.201754385964913,801,0.0794161155409974,0.85199647874625,21.2416687011719
"C136","Bilirubin, pdl1_tissue, ECOG",0.840135264774245,0.103354154834484,0.212328767123287,1027,0.0349526551795143,0.908549060326635,21.1967315673828
"C81","Neutrophils, AST, hpv_test, ECOG",0.840735635073175,0.136482191444653,0.205309734513274,659,0.165367881671459,0.895515773626964,21.1498413085938
"C142","Platelets, Hemoglobin, Bilirubin, pdl1_tissue, ECOG",0.84182373380484,0.107354514758011,0.217391304347827,945,0.0493859942034058,0.909931405422208,21.1434631347656
"C29","Neutrophils, Hemoglobin, Bilirubin, AST, ECOG",0.840135666891088,0.112894297877336,0.203703703703704,825,0.0911150330195936,0.866620762393469,21.1218414306641
"C46","Platelets, Hemoglobin, Bilirubin, ALT, ECOG",0.839637447766368,0.109019977094594,0.216911764705882,960,0.0676708816667886,0.928517231871004,21.1108856201172
"C48","AST, ALT, ECOG",0.840887265126938,0.103541833060233,0.217821782178218,1071,0.0436566282453452,0.928320131970071,21.0379638671875
"C55","Neutrophils, Platelets, Hemoglobin, AST, ALT, ECOG",0.840111672276287,0.113047946146801,0.209985315712188,803,0.106351553046086,0.856150221765912,20.9768676757812
"C158","Platelets, Hemoglobin, Bilirubin, AST, pdl1_tissue, ECOG",0.842000024742843,0.108812018647538,0.215269086357948,937,0.0436547516264316,0.917404389293368,20.9328155517578
"C32","ALT, ECOG",0.842901979298899,0.102652121763233,0.217724288840263,1077,0.0547663228473716,0.93112996659474,20.8565826416016
"C34","Platelets, ALT, ECOG",0.843654356875421,0.106459764105745,0.214030915576695,990,0.0419113101406305,0.929059663833171,20.8016662597656
"C146","Platelets, AST, pdl1_tissue, ECOG",0.843535065298849,0.106396187730008,0.212121212121212,968,0.0303793269859749,0.919633458358556,20.7774505615234
"C198","Platelets, Hemoglobin, hpv_test, pdl1_tissue, ECOG",0.841925410462545,0.129621718647381,0.220820189274448,740,0.095092257404382,0.8928500206577,20.7442169189453
"C71","Neutrophils, Platelets, Hemoglobin, hpv_test, ECOG",0.844142249522167,0.137666470357008,0.210820895522388,630,0.179484978929699,0.890611827986636,20.7022705078125
"C217","Neutrophils, Bilirubin, AST, hpv_test, pdl1_tissue, ECOG",0.841087269826722,0.138245423580456,0.204797047970479,630,0.187923309508711,0.896941380029274,20.6739654541016
"C47","Neutrophils, Platelets, Hemoglobin, Bilirubin, ALT, ECOG",0.845168933190656,0.114845717629361,0.209509658246657,793,0.11177383530721,0.868954946033762,20.4700469970703
"C31","Neutrophils, Platelets, Hemoglobin, Bilirubin, AST, ECOG",0.846107528224704,0.115546373966267,0.208579881656805,795,0.118894968634057,0.874787181376688,20.4609069824219
"C62","Platelets, Hemoglobin, Bilirubin, AST, ALT, ECOG",0.846050564922233,0.109075077959987,0.217444717444717,957,0.0554846099445427,0.925627575116851,20.4601745605469
"C173","Neutrophils, Hemoglobin, Bilirubin, ALT, pdl1_tissue, ECOG",0.847115910335615,0.112700064175212,0.202049780380674,801,0.0911318714213236,0.847443899869646,20.4055633544922
"C70","Platelets, Hemoglobin, hpv_test, ECOG",0.847895757829174,0.12962647308483,0.221198156682027,761,0.11042225264504,0.899042307141279,20.3883361816406
"C64","hpv_test, ECOG",0.845885403128178,0.122552124432783,0.226074895977808,844,0.097342328455877,0.906378913684997,20.3800811767578
"C61","Neutrophils, Hemoglobin, Bilirubin, AST, ALT, ECOG",0.847363246246947,0.113194387935442,0.204871060171919,821,0.0944513773273601,0.863218294350507,20.3797607421875
"C227","Neutrophils, Platelets, ALT, hpv_test, pdl1_tissue, ECOG",0.846265861797271,0.138448295780274,0.208413001912046,611,0.169148666535863,0.885421617966955,20.3780212402344
"C19","Neutrophils, Platelets, AST, ECOG",0.847009869727668,0.112699854787812,0.206303724928366,821,0.103587092464809,0.858455661611161,20.3684234619141
"C201","Neutrophils, Bilirubin, hpv_test, pdl1_tissue, ECOG",0.846648503680692,0.136781415098336,0.205128205128205,637,0.168212030375186,0.894883068723331,20.3471374511719
"C204","Hemoglobin, Bilirubin, hpv_test, pdl1_tissue, ECOG",0.847106196137306,0.126063705386314,0.219033232628399,769,0.153950947216285,0.898710043563332,20.3318939208984
"C208","AST, hpv_test, pdl1_tissue, ECOG",0.848405939608877,0.124876534377785,0.222381635581062,809,0.0961774996138036,0.888962854480146,20.3314819335938
"C162","Platelets, ALT, pdl1_tissue, ECOG",0.848827697321647,0.106858811938537,0.211936662606577,964,0.0362708861726559,0.915840331047772,20.3229522705078
"C10","Platelets, Bilirubin, ECOG",0.847609031457087,0.107190756392122,0.216666666666667,988,0.056550338716252,0.92784871065293,20.2989654541016
"C138","Platelets, Bilirubin, pdl1_tissue, ECOG",0.84892133369613,0.107196308234982,0.214896214896215,961,0.0511671622617169,0.916098266432763,20.2781982421875
"C63","Neutrophils, Platelets, Hemoglobin, Bilirubin, AST, ALT, ECOG",0.849532284746213,0.114880383068166,0.209821428571429,791,0.117764702943286,0.871090969172384,20.2518463134766
"C99","Neutrophils, Platelets, ALT, hpv_test, ECOG",0.849299359201085,0.138581954402015,0.210037174721189,629,0.185031527599133,0.898611289978377,20.1503143310547
"C67","Neutrophils, Platelets, hpv_test, ECOG",0.851814853298448,0.137737651666209,0.209558823529412,639,0.179975841193314,0.898191322082417,20.0416259765625
"C147","Neutrophils, Platelets, AST, pdl1_tissue, ECOG",0.850720554222691,0.113165491752277,0.204411764705883,798,0.087312247318371,0.844558539178003,20.0404968261719
"C8","Bilirubin, ECOG",0.850634356023732,0.103187327331819,0.214046822742475,1055,0.0480124516938929,0.92196110650749,19.9558258056641
"C230","Platelets, Hemoglobin, ALT, hpv_test, pdl1_tissue, ECOG",0.850065216805891,0.131882282618782,0.2176,726,0.142490785821016,0.900250790933254,19.9169769287109
"C0","ECOG",0.850578269962145,0.101162765268019,0.220064724919094,1096,0.0482426369120421,0.924427574417338,19.9084777832031
"C175","Neutrophils, Platelets, Hemoglobin, Bilirubin, ALT, pdl1_tissue, ECOG",0.850882913945891,0.11477127203881,0.20763358778626,770,0.105514279011196,0.856138864431212,19.7962341308594
"C3","Neutrophils, Platelets, ECOG",0.853779147710541,0.111201379582909,0.207977207977208,830,0.116966746605051,0.849997488870513,19.7901000976562
"C141","Neutrophils, Hemoglobin, Bilirubin, pdl1_tissue, ECOG",0.853063461583845,0.112169608643545,0.202898550724638,810,0.0989346938338316,0.842698888422047,19.7674102783203
"C40","Bilirubin, ALT, ECOG",0.852898955095251,0.104275930920315,0.212189616252822,1041,0.0632435657398187,0.925302714074837,19.6948394775391
"C112","AST, ALT, hpv_test, ECOG",0.85390613820805,0.12512682869507,0.223479490806224,823,0.0902627552220929,0.897105714780926,19.6918334960938
"C190","Platelets, Hemoglobin, Bilirubin, AST, ALT, pdl1_tissue, ECOG",0.853279108186984,0.109382305060157,0.215365239294711,931,0.0510657777437102,0.916260789657269,19.6248474121094
"C189","Neutrophils, Hemoglobin, Bilirubin, AST, ALT, pdl1_tissue, ECOG",0.854739745106568,0.112972440175562,0.202941176470588,797,0.0872533501638393,0.849001885217483,19.5908355712891
"C159","Neutrophils, Platelets, Hemoglobin, Bilirubin, AST, pdl1_tissue, ECOG",0.855319767026122,0.11527087963373,0.206686930091186,772,0.108699917514748,0.86231562181547,19.5389862060547
"C220","Hemoglobin, Bilirubin, AST, hpv_test, pdl1_tissue, ECOG",0.853739307793785,0.127944981460904,0.216463414634147,760,0.16236566852484,0.885764161690938,19.5220489501953
"C56","Bilirubin, AST, ALT, ECOG",0.856013261524095,0.105003890538003,0.212258796821794,1035,0.0586125204699588,0.922428077390424,19.4532012939453
"C24","Bilirubin, AST, ECOG",0.856974255666688,0.104883601809639,0.211711711711712,1043,0.0604858839628391,0.923284881641448,19.4375610351562
"C18","Platelets, AST, ECOG",0.85608297574546,0.107173889905373,0.213947990543735,995,0.0491863559215151,0.931669201225645,19.4277496337891
"C214","Platelets, Hemoglobin, AST, hpv_test, pdl1_tissue, ECOG",0.855527596605349,0.132617413810219,0.217460317460317,731,0.128947465295153,0.888289765845724,19.4106292724609
"C179","Neutrophils, Platelets, AST, ALT, pdl1_tissue, ECOG",0.854787327855084,0.112939314648866,0.205925925925926,793,0.0837914257533379,0.84013506379023,19.3650970458984
"C42","Platelets, Bilirubin, ALT, ECOG",0.856871229056676,0.108199058157142,0.214457831325301,976,0.0627190236474129,0.936775249164216,19.3577880859375
"C178","Platelets, AST, ALT, pdl1_tissue, ECOG",0.857068694958588,0.107000527797767,0.212454212454213,961,0.0272249163891514,0.917378463406028,19.3305969238281
"C170","Platelets, Bilirubin, ALT, pdl1_tissue, ECOG",0.858352989606499,0.10877316943109,0.212345679012346,950,0.0500995271511362,0.924704103624704,19.3022003173828
"C246","Platelets, Hemoglobin, AST, ALT, hpv_test, pdl1_tissue, ECOG",0.860002379008824,0.132943317404666,0.217948717948718,724,0.154523300321916,0.892362276874104,19.2335205078125
"C113","Neutrophils, AST, ALT, hpv_test, ECOG",0.860449710016148,0.13605715629445,0.207142857142857,654,0.168893650048249,0.893073895054315,19.1574401855469
"C26","Platelets, Bilirubin, AST, ECOG",0.860207662997975,0.108661556338708,0.21462829736211,980,0.0601664286441661,0.935355489319991,19.0289306640625
"C51","Neutrophils, Platelets, AST, ALT, ECOG",0.859232999971774,0.112533559036197,0.207792207792208,816,0.0970687780670387,0.85458064467708,19.0264892578125
"C35","Neutrophils, Platelets, ALT, ECOG",0.86044837471728,0.112263512364836,0.207492795389049,818,0.114977728347884,0.851265737347288,19.0070495605469
"C168","Bilirubin, ALT, pdl1_tissue, ECOG",0.860281046108464,0.104586756779214,0.210161662817552,1014,0.058873167616263,0.914450761384036,18.9924774169922
"C184","Bilirubin, AST, ALT, pdl1_tissue, ECOG",0.860566702264258,0.104981703767311,0.210220673635307,1008,0.0552367555671958,0.911477716883018,18.9889373779297
"C152","Bilirubin, AST, pdl1_tissue, ECOG",0.860650707589024,0.104937878574722,0.209919261822376,1015,0.0567065038134735,0.912022792173777,18.8356628417969
"C115","Neutrophils, Platelets, AST, ALT, hpv_test, ECOG",0.861936464793804,0.138829772933762,0.210428305400372,627,0.192396324769746,0.897545520408028,18.7919311523438
"C92","Hemoglobin, Bilirubin, AST, hpv_test, ECOG",0.861390794818043,0.127430512560281,0.216939078751858,782,0.168199436155583,0.892666782487777,18.7791595458984
